Metric,Value
Avg All Pairs (m),5381.892985639982
Median (m),4966.898979061961
Max (m),12232.618344074745
Std (m),3497.7595005495114
Hosp-School Avg (m),5188.12558649683
% Schools <5km Hosp,53.535353535353536
